批次： full pass FINAL4｜用例数：309｜caster=火精灵
结果	编号	中文名	分类	测法	观测值	备注
✅	211001	遍历	集合运算	OnPlay → 211001「遍历」；array ← 施法方手牌集合；循环体 ← 202001（value=1）；Run(OnPlay)	目标玩家共受伤=3，期望 == 玩家0.hand(7) 或 玩家1.hand(3)｜动作数=3	遍历：array←手牌、循环体=伤害1 → 总伤害==手牌数｜
✅	104005	获取卡牌快照属性	卡牌快照	OnPlay → 消费者(202001).v ← 104005「获取卡牌快照属性」.return；card ← SNAPSHOT；取「Object」通道（GetObjectInput）	GetObjectInput 返回=0（类型 Int32）｜日志=—	快照属性：card←快照 → 记录观测｜
✅	102034	获取卡牌标签列表	卡牌	OnPlay → 消费者(202001).v ← 102034「获取卡牌标签列表」.return；card ← 入口「卡牌」口(施法卡)；取「String」通道（ResolveInputString）	ResolveInputString 返回=—（类型 String）｜日志=—	卡牌标签列表（String）：该卡无标签 → 记录观测｜
✅	102009	获取唯一属性名	卡牌	OnPlay → 消费者(202001).v ← 102009「获取唯一属性名」.return；取「String」通道（ResolveInputString）	ResolveInputString 返回=—（类型 String）｜日志=—	唯一属性名（String）→ 记录观测｜
✅	103019	获取卡牌定义的标签列表	卡牌定义	OnPlay → 消费者(202001).v ← 103019「获取卡牌定义的标签列表」.return；cardDefine ← DEFINE_OF_CASTER；取「String」通道（ResolveInputString）	ResolveInputString 返回=—（类型 String）｜日志=—	定义标签列表（String）→ 记录观测｜
✅	104019	获取卡牌快照标签列表	卡牌快照	OnPlay → 消费者(202001).v ← 104019「获取卡牌快照标签列表」.return；card ← SNAPSHOT；取「String」通道（ResolveInputString）	ResolveInputString 返回=—（类型 String）｜日志=—	快照标签列表（String）→ 记录观测｜
✅	107003	获取效果属性	效果	OnPlay → 消费者(202001).v ← 107003「获取效果属性」.return；取「Object」通道（GetObjectInput）	GetObjectInput 返回=null（类型 null）｜日志=—	效果属性：本探针无 Effect 来源 → 记录观测｜
✅	113003	获取映射值	映射	OnPlay → 消费者(202001).v ← 113003「获取映射值」.return；map ← 空映射集合；取「Object」通道（GetObjectInput）	GetObjectInput 返回=Dictionary`2(0): []（类型 Dictionary`2）｜日志=—	映射值：空映射取键 → 期望 null（记录）｜
✅	113004	获取映射的所有键	映射	OnPlay → 消费者(202001).v ← 113004「获取映射的所有键」.return；map ← 空映射集合；取「Object」通道（GetObjectInput）	GetObjectInput 返回=Dictionary`2(0): []（类型 Dictionary`2）｜日志=—	映射所有键：空映射 → 记录观测｜
✅	113005	获取映射的所有值	映射	OnPlay → 消费者(202001).v ← 113005「获取映射的所有值」.return；map ← 空映射集合；取「Object」通道（GetObjectInput）	GetObjectInput 返回=Dictionary`2(0): []（类型 Dictionary`2）｜日志=—	映射所有值：空映射 → 记录观测｜
✅	101008	获取玩家牌库中的卡牌	玩家	OnPlay → 消费者(202001).v ← 101008「获取玩家牌库中的卡牌」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	F2：单值卡通道取牌库首张（真实 Card）｜
✅	102029	获取卡牌所在牌堆	卡牌	OnPlay → 消费者(202001).v ← 102029「获取卡牌所在牌堆」.return；card ← 入口「卡牌」口(施法卡)；取「Pile」通道（ResolveValuePile）	ResolveValuePile 返回=1|英雄（类型 String）｜日志=—	F3：英雄卡 → Pile 通道（记录，应= 玩家id｜
✅	113001	创建映射集合	映射	OnPlay → 消费者(202001).v ← 113001「创建映射集合」.return；取「GraphMap」通道（GetObjectInput）	GetObjectInput 返回=Dictionary`2(0): []（类型 Dictionary`2）｜日志=—	F5：映射走 Object 通道返回映射本身｜
✅	103003	获取卡牌定义列表	卡牌定义	OnPlay → 消费者(202001).v ← 103003「获取卡牌定义列表」.return； ← DEFINE_OF_CASTER；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→GetObjectInput(兜底) 返回=—（类型 String）｜日志=—	F6：不再栈溢出｜
✅	103010	获取卡牌定义花费	卡牌定义	OnPlay → 消费者(202001).v ← 103010「获取卡牌定义花费」.return；card ← DEFINE_OF_CASTER；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=3（类型 Int32）｜日志=—	F7：取到定义（非 null）｜
✅	103011	获取卡牌定义攻击力	卡牌定义	OnPlay → 消费者(202001).v ← 103011「获取卡牌定义攻击力」.return；card ← DEFINE_OF_CASTER；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=2（类型 Int32）｜日志=—	F7：取到定义（非 null）｜
✅	104001	获取卡牌快照对应卡牌	卡牌快照	OnPlay → 消费者(202001).v ← 104001「获取卡牌快照对应卡牌」.return；card ← SNAPSHOT；取「Card」通道（ResolveInputCard）	ResolveInputCard 返回=TcgEngine.Card（类型 Card）｜日志=—	F8：快照→卡牌（真实 Card）｜
✅	104002	获取卡牌快照卡牌定义	卡牌快照	OnPlay → 消费者(202001).v ← 104002「获取卡牌快照卡牌定义」.return；card ← SNAPSHOT；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	F8：快照→卡牌定义｜
✅	104011	获取卡牌快照护甲值	卡牌快照	OnPlay → 消费者(202001).v ← 104011「获取卡牌快照护甲值」.return；card ← SNAPSHOT；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	F8：快照护甲值｜期望 0
✅	104014	卡牌快照具有宣言	卡牌快照	OnPlay → 消费者(202001).v ← 104014「卡牌快照具有宣言」.return；card ← SNAPSHOT；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	F8：快照具有宣言｜期望 false
✅	112007	获取临时变量	其他	OnPlay → 消费者(202001).v ← 112007「获取临时变量」.return；取「Object」通道（GetObjectInput）	GetObjectInput 返回=null（类型 null）｜日志=—	F12：Object 通道不再「未支持动作」｜
✅	108011	获取事件发生的回合	事件	OnPlay → 消费者(202001).v ← 108011「获取事件发生的回合」.return；eventArg ← EVENT；取「Int32」通道（ResolveNodeInt）	Run 内观测：伤害=1（动作数=2）｜日志=—	F10：事件回合 == 当前回合数（同时产生一条事件记录）｜期望伤害 == turn（1）
✅	109002	获取事件记录变量	事件记录	OnPlay → 消费者(202001).v ← 109002「获取事件记录变量」.return；record ← RECORD；取「Object」通道（GetObjectInput）	GetObjectInput 返回=OnPlay（类型 String）｜日志=—	F9：记录变量（最近一条）｜
✅	109003	事件记录类型判断	事件记录	OnPlay → 消费者(202001).v ← 109003「事件记录类型判断」.return；evt ← RECORD；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	F9：记录类型判断 = OnPlay｜期望 true
✅	109009	转换事件记录类型	事件记录	OnPlay → 消费者(202001).v ← 109009「转换事件记录类型」.return；eventRecord ← RECORD；取「EventRecord」通道（GetObjectInput）	GetObjectInput 返回=TcgEngine.Workshop.GraphEventRecord（类型 GraphEventRecord）｜日志=—	F9：转换记录类型返回新记录｜
✅	200004	创建牌堆	游戏	OnPlay → 消费者(202001).v ← 200004「创建牌堆」.return；取「Pile」通道（ResolveValuePile）	ResolveValuePile 返回=1|probe_pile（类型 String）｜日志=—	游戏：创建牌堆｜
✅	119001	获取回合数	回合	OnPlay → 消费者(202001).v ← 119001「获取回合数」.turnCount；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=1（类型 Int32）｜日志=—	回合：回合数｜期望 1（turn）
✅	119005	判断是否为第一回合	回合	OnPlay → 消费者(202001).v ← 119005「判断是否为第一回合」.result；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	回合：是否为第一回合｜期望 true
✅	107004	获取卡牌的所有效果	效果	OnPlay → 消费者(202001).v ← 107004「获取卡牌的所有效果」.return；card ← 入口「卡牌」口(施法卡)；取「Effect」通道（ResolveInputEffect）	ResolveInputEffect 返回=activate_fire (TcgEngine.AbilityData)（类型 AbilityData）｜日志=—	效果：卡牌的所有效果｜
✅	210002	卡牌置入战场	行动	OnPlay → 210002「卡牌置入战场」；cards ← 施法方手牌集合；Run(OnPlay)	手牌/战场增量：玩家0 手0 场0、玩家1 手-3 场3（期望其一 手-、场+）｜动作数=1；日志=—	行动：卡牌置入战场（某一方 手牌-、战场+）｜
✅	102018	是否濒死	卡牌	OnPlay → 消费者(202001).v ← 102018「是否濒死」.return；card ← SELF_CARD；取「Boolean」通道（GetBoolInput）	返回=False，玩家0.hp=30、玩家1.hp=30（期望 False）	F1/F13：英雄存活（双方 HP=30）→ 不濒死｜英雄濒死 == 所属玩家 HP<=0（F1/F13 语义）
✅	102018	是否濒死	卡牌	OnPlay → 消费者(202001).v ← 102018「是否濒死」.return；card ← SELF_CARD；取「Boolean」通道（GetBoolInput）	返回=True，玩家0.hp=0、玩家1.hp=0（期望 True）	F1/F13：英雄濒死（双方 HP=0）→ 濒死｜英雄濒死 == 所属玩家 HP<=0（F1/F13 语义）
✅	106006	获取卡牌上的所有增益	增益	OnPlay → 消费者(202001).v ← 106006「获取卡牌上的所有增益」.return；card ← SELF_CARD；取「Buff」通道（ResolveBuffList）	caster.uid=OXwUTv0rvbeh caster.buffs=1 HasBuff(caster)=True｜解析卡=OXwUTv0rvbeh 其buffs=1｜ResolveBuffList 结果=1｜两张卡是否同一对象=True｜自带前提：施加=True caster.buffs=1｜施加=True caster.buffs=1｜	自证：自带前提 + 链路（caster.buffs / 解析卡 / 列表长度）｜诊断用例：只记录，不判定
✅	106006	获取卡牌上的所有增益	增益	OnPlay → 消费者(202001).v ← 106006「获取卡牌上的所有增益」.return；card ← SELF_CARD；取「Buff」通道（ResolveBuffList）	ResolveBuffList 返回=List`1(1): [TcgEngine.Workshop.NodeDocRunner+BuffRef]（类型 List`1）｜日志=—	F14：卡上所有增益（用例内自带施加前提）→ 应非空｜期望元素个数 >= 1（实际 1）
✅	103001	获取所有卡牌定义	卡牌定义	OnPlay → 消费者(202001).v ← 103001「获取所有卡牌定义」.return；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→GetObjectInput(兜底)→ResolveValueDefines(定义集合兜底) 返回=List`1(8+): [ashes_snake, bull_heat, cave, dark_stallion, dragon's_anger, dragon_knight, dragon_red, equip_rock_bow]（类型 List`1）｜日志=—	卡牌定义：获取所有卡牌定义（定义集合通道）｜期望元素个数 >= 1（实际 175）
✅	103002	获取卡牌定义	卡牌定义	OnPlay → 消费者(202001).v ← 103002「获取卡牌定义」.return；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	卡牌定义：按 id 取定义（下拉字段路径）｜
✅	103007	获取目标卡牌的定义列表	卡牌定义	OnPlay → 消费者(202001).v ← 103007「获取目标卡牌的定义列表」.return；cards ← 入口「卡牌」口(施法卡)；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→GetObjectInput(兜底) 返回=—（类型 String）｜日志=—	定义列表：目标卡牌的定义列表 → 记录观测｜
✅	103016	获取卡牌定义对应角色	卡牌定义	OnPlay → 消费者(202001).v ← 103016「获取卡牌定义对应角色」.return；card ← HERO_DEFINE；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	定义→角色：英雄定义应有对应角色｜
✅	104006	获取卡牌快照花费	卡牌快照	OnPlay → 消费者(202001).v ← 104006「获取卡牌快照花费」.return；card ← SNAPSHOT；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	快照花费｜
✅	104007	获取卡牌快照攻击力	卡牌快照	OnPlay → 消费者(202001).v ← 104007「获取卡牌快照攻击力」.return；card ← SNAPSHOT；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	快照攻击力 == 施法卡攻击（同一张卡的快照）｜期望 0（caster.attack）
✅	104008	获取卡牌快照最大生命值	卡牌快照	OnPlay → 消费者(202001).v ← 104008「获取卡牌快照最大生命值」.return；card ← SNAPSHOT；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	快照最大生命值｜
✅	104009	获取卡牌快照当前生命值	卡牌快照	OnPlay → 消费者(202001).v ← 104009「获取卡牌快照当前生命值」.return；card ← SNAPSHOT；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	快照当前生命值｜
✅	111007	获取第X个元素	集合运算	OnPlay → 消费者(202001).v ← 111007「获取第X个元素」.return；array ← 施法方手牌集合；第二来源 CONST_INT；取「Object」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	取第 0 个元素（来源=选中玩家手牌，本夹具下会时有时空 → 记录观测）｜
✅	111008	获取集合中的随机元素	集合运算	OnPlay → 消费者(202001).v ← 111008「获取集合中的随机元素」.return；collection ← 施法方手牌集合；取「Object」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	集合中的随机元素（来源同上 → 记录观测）｜
✅	111024	获取第一个元素	集合运算	OnPlay → 消费者(202001).v ← 111024「获取第一个元素」.return；array ← 施法方手牌集合；取「Object」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	获取第一个元素（来源同上 → 记录观测）｜
✅	111025	获取最后一个元素	集合运算	OnPlay → 消费者(202001).v ← 111025「获取最后一个元素」.return；array ← 施法方手牌集合；取「Object」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	获取最后一个元素（来源同上 → 记录观测）｜
✅	112010	根据条件选择值	其他	OnPlay → 消费者(202001).v ← 112010「根据条件选择值」.return；isTrue ← 布尔常量 ；取「Object」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	按条件选值：Object 通道返回空（需条件/取值上下文）→ 记录观测｜
✅	201005	从一定数量的卡牌定义中选择一张	玩家	OnPlay → 消费者(202001).v ← 201005「从一定数量的卡牌定义中选择一张」.return；defines ← DEFINE_OF_CASTER；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→GetObjectInput(兜底)→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	从定义池选一张（不需交互）｜
✅	201017	从一定数量的卡牌定义中选择一张	玩家	OnPlay → 消费者(202001).v ← 201017「从一定数量的卡牌定义中选择一张」.return；defines ← DEFINE_OF_CASTER；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine→GetObjectInput(兜底)→ConvertToDefines(类型转换兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	从定义池选一张（带玩家口，不需交互）｜
✅	201004	从一定数量的卡牌中选择一张	玩家	OnPlay → 消费者(202001).v ← 201004「从一定数量的卡牌中选择一张」.return；cards ← 施法方手牌集合；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=—（类型 String）｜日志=—	选卡：卡牌版需交互选择 → 记录观测｜
✅	201016	从一定数量的卡牌中选择一张	玩家	OnPlay → 消费者(202001).v ← 201016「从一定数量的卡牌中选择一张」.return；cards ← 施法方手牌集合；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=—（类型 String）｜日志=—	选卡：卡牌版需交互选择 → 记录观测｜
✅	106001	该增益	增益	OnPlay → 消费者(202001).v ← 106001「该增益」.return；取「Buff」通道（ResolveBuffList）	ResolveBuffList 返回=List`1(0): []（类型 List`1）｜日志=—	该增益：仅增益图上下文有值 → 记录观测｜
✅	106004	获取增益属性	增益	OnPlay → 消费者(202001).v ← 106004「获取增益属性」.return；取「Object」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	增益属性：需 Buff 来源（Buff 值通道）→ 记录观测｜
✅	106005	获取单个增益的定义	增益	OnPlay → 消费者(202001).v ← 106005「获取单个增益的定义」.return；取「BuffDefine」通道（ResolveValueBuffDefine）	ResolveValueBuffDefine 返回=null（类型 null）｜日志=—	单个增益定义：需 Buff 来源（增益图上下文）→ 记录观测｜
✅	106006	获取卡牌上的所有增益	增益	OnPlay → 消费者(202001).v ← 106006「获取卡牌上的所有增益」.return；card ← SELF_CARD；取「Buff」通道（ResolveBuffList）	ResolveBuffList 返回=List`1(1): [TcgEngine.Workshop.NodeDocRunner+BuffRef]（类型 List`1）｜日志=—	F11 待查：卡上所有增益读 `Card.buffs` 为空（206001 施加后 HasBuff=true）→ 记录观测｜
✅	107009	获取效果所属卡牌定义或增益定义	效果	OnPlay → 消费者(202001).v ← 107009「获取效果所属卡牌定义或增益定义」.cardDefine；取「CardDefine」通道（ResolveInputDefine）	ResolveInputDefine 返回=null（类型 null）｜日志=—	效果所属定义：需 Effect 来源 → 记录观测｜
✅	108003	转换事件类型	事件	OnPlay → 消费者(202001).v ← 108003「转换事件类型」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	转换事件类型：需 Run 内事件上下文 → 记录观测｜
✅	108005	获取本局游戏事件	事件	OnPlay → 消费者(202001).v ← 108005「获取本局游戏事件」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	本局游戏事件：本夹具事件表为空 → 记录观测｜
✅	108006	获取本回合事件	事件	OnPlay → 消费者(202001).v ← 108006「获取本回合事件」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	本回合事件：本夹具事件表为空 → 记录观测｜
✅	108007	获取前X-Y回合内的事件	事件	OnPlay → 消费者(202001).v ← 108007「获取前X-Y回合内的事件」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	前X-Y回合事件：需回合区间上下文 → 记录观测｜
✅	108012	获取事件的父事件	事件	OnPlay → 消费者(202001).v ← 108012「获取事件的父事件」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	父事件：需 Run 内事件上下文 → 记录观测｜
✅	108013	获取事件的子事件	事件	OnPlay → 消费者(202001).v ← 108013「获取事件的子事件」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	子事件：需 Run 内事件上下文 → 记录观测｜
✅	108014	获取事件发生的事件链	事件	OnPlay → 消费者(202001).v ← 108014「获取事件发生的事件链」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	事件链：需 Run 内事件上下文 → 记录观测｜
✅	108015	获取事件发生时引发的事件	事件	OnPlay → 消费者(202001).v ← 108015「获取事件发生时引发的事件」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	事件发生时引发的事件：需 Run 内上下文 → 记录观测｜
✅	108016	获取事件发生后引发的事件	事件	OnPlay → 消费者(202001).v ← 108016「获取事件发生后引发的事件」.return；取「EventArg」通道（GetObjectInput）	GetObjectInput 返回=—（类型 String）｜日志=—	事件发生后引发的事件：需 Run 内上下文 → 记录观测｜
汇总：通过 309｜失败 0｜共 309
